Rank,Pos,ID,Name,Team,Opp,Comp,Yards,TD,Int,Att,Yards,TD,Rec,Yards,TD,Fantasy Points
235,TE,8339,"Daniels, Owen",DEN,KCC,0,0,0,0,0,0,0,1.59,16,0.12,2
236,TE,8838,"Celek, Brent",PHI,MIA,0,0,0,0,0,0,0,1.55,17,0.21,2
237,WR,11931,"Fowler, Bennie",DEN,KCC,0,0,0,0,0,0,0,1.2,16,0,2
238,RB,11201,"Lacy, Eddie",GBP,DET,0,0,0,0,3.5,13,0.12,0.5,8,0.07,2
239,WR,10410,"Harris, Dwayne",NYG,NEP,0,0,0,0,0.04,0,0,2.03,24,0.22,2
240,TE,11258,"Rivera, Mychal",OAK,MIN,0,0,0,0,0,0,0,2.69,23,0.15,2
241,WR,11672,"Lee, Marqise",JAC,BAL,0,0,0,0,0.15,1,0,1.23,14,0.01,2
242,RB,9802,"Reece, Marcel",OAK,MIN,0,0,0,0,0.84,4,0,2.03,18,0.13,2
243,QB,11465,"McGloin, Matt",OAK,MIN,5.55,46,0.44,0.46,0.19,1,0,0,0,0,2
244,WR,11938,"Thielen, Adam",MIN,OAK,0,0,0,0,0,0,0,0.35,7,0.01,1
245,WR,11456,"Brown, Jaron",ARI,SEA,0,0,0,0,0.03,0,0,0.41,7,0.04,1
246,RB,11937,"Thompson, Juwan",DEN,KCC,0,0,0,0,1.99,9,0.08,0.23,2,0,1
247,TE,11448,"Harris, Demetrius",KCC,DEN,0,0,0,0,0,0,0,0.85,10,0.01,1
248,RB,11367,"Juszczyk, Kyle",BAL,JAC,0,0,0,0,0,0,0,1.49,12,0.01,1
249,WR,12038,"Ross, Rashad",WAS,NOS,0,0,0,0,0,0,0,0.39,6,0,1
